Tanggal,Fakultas,Kategori,Anggaran (Juta Rp),Realisasi (Juta Rp)
31/03/2021,FIK,Pengembangan Infrastruktur,175.0,161.26774311752504
30/04/2021,FTE,Operasional,275.0,262.07704307966964
30/04/2021,FTE,Riset dan Pengembangan,140.0,134.5989374455112
30/04/2021,FTE,Kemahasiswaan,350.0,337.46429286831835
30/04/2021,FTE,Pengembangan Infrastruktur,237.0,221.52046931391698
30/04/2021,FRI,Operasional,335.0,319.98916794568987
30/04/2021,FRI,Riset dan Pengembangan,232.0,209.10767112456057
30/04/2021,FRI,Kemahasiswaan,288.0,273.82812398277395
30/04/2021,FRI,Pengembangan Infrastruktur,379.0,356.65684699379335
30/04/2021,FIF,Operasional,499.0,460.8976342261951
30/04/2021,FIF,Riset dan Pengembangan,459.0,294.1759701601852
30/04/2021,FIF,Kemahasiswaan,307.0,282.92890928417285
30/04/2021,FIF,Pengembangan Infrastruktur,378.0,363.04507782877187
30/04/2021,FEB,Operasional,145.0,133.5684361803535
30/04/2021,FEB,Riset dan Pengembangan,166.5,109.66292421100434
30/04/2021,FEB,Kemahasiswaan,230.0,224.47708877828654
30/04/2021,FEB,Pengembangan Infrastruktur,138.0,125.59043528477052
30/04/2021,FKB,Operasional,267.75,324.1751392017342
30/04/2021,FKB,Riset dan Pengembangan,104.0,101.62013287151795
30/04/2021,FKB,Kemahasiswaan,295.0,273.2472187837382
30/04/2021,FKB,Pengembangan Infrastruktur,463.0,455.06128131248056
30/04/2021,FIT,Operasional,155.25,203.14516430806682
30/04/2021,FIT,Riset dan Pengembangan,474.0,435.47819225325577
30/04/2021,FIT,Kemahasiswaan,225.0,223.49213434342522
30/04/2021,FIT,Pengembangan Infrastruktur,128.0,116.74255567581112
30/04/2021,FIK,Operasional,361.0,352.42724570898423
30/04/2021,FIK,Riset dan Pengembangan,478.0,475.4930152310077
30/04/2021,FIK,Kemahasiswaan,163.0,158.39852542399
30/04/2021,FIK,Pengembangan Infrastruktur,122.0,111.7538887130752
31/05/2021,FTE,Operasional,319.0,297.74522070111146
31/05/2021,FTE,Riset dan Pengembangan,228.0,219.52747951275305
31/05/2021,FTE,Kemahasiswaan,144.0,133.22945419625353
31/05/2021,FTE,Pengembangan Infrastruktur,351.0,341.5885289530766
31/05/2021,FRI,Operasional,389.0,364.2480757937615
31/05/2021,FRI,Riset dan Pengembangan,179.0,171.82927831140714
31/05/2021,FRI,Kemahasiswaan,456.0,449.2093167537715
31/05/2021,FRI,Pengembangan Infrastruktur,344.0,342.5637774147924
31/05/2021,FIF,Operasional,239.0,225.6362716424786
31/05/2021,FIF,Riset dan Pengembangan,625.5,397.5088946819774
31/05/2021,FIF,Kemahasiswaan,424.0,393.43595259324655
31/05/2021,FIF,Pengembangan Infrastruktur,251.0,227.13367424032322
31/05/2021,FEB,Operasional,253.0,241.7716018760255
31/05/2021,FEB,Riset dan Pengembangan,277.5,170.24025451942975
31/05/2021,FEB,Kemahasiswaan,104.0,95.48039094825259
31/05/2021,FEB,Pengembangan Infrastruktur,497.0,455.71629964579785
31/05/2021,FKB,Operasional,297.75,385.047263997315
31/05/2021,FKB,Riset dan Pengembangan,426.0,408.711387811871
31/05/2021,FKB,Kemahasiswaan,243.0,233.55334940415273
31/05/2021,FKB,Pengembangan Infrastruktur,495.0,463.75447164273874
31/05/2021,FIT,Operasional,127.5,153.22431960674686
31/05/2021,FIT,Riset dan Pengembangan,361.0,348.8693997511958
31/05/2021,FIT,Kemahasiswaan,202.0,193.98721409318324
31/05/2021,FIT,Pengembangan Infrastruktur,257.0,248.06232189625848
31/05/2021,FIK,Operasional,384.0,363.9215216649803
31/05/2021,FIK,Riset dan Pengembangan,408.0,372.4188653700252
31/05/2021,FIK,Kemahasiswaan,341.0,335.599776247371
31/05/2021,FIK,Pengembangan Infrastruktur,487.0,475.65359152787886
30/06/2021,FTE,Operasional,111.0,109.53036776547312
30/06/2021,FTE,Riset dan Pengembangan,338.0,329.23596396620513
30/06/2021,FTE,Kemahasiswaan,394.0,367.057016893959
30/06/2021,FTE,Pengembangan Infrastruktur,370.0,337.6267132151275
30/06/2021,FRI,Operasional,248.0,233.05549774572708
30/06/2021,FRI,Riset dan Pengembangan,326.0,318.5400048759258
30/06/2021,FRI,Kemahasiswaan,251.0,235.94198575187986
30/06/2021,FRI,Pengembangan Infrastruktur,103.0,96.91254089037638
30/06/2021,FIF,Operasional,427.0,426.9975079012769
30/06/2021,FIF,Riset dan Pengembangan,382.5,241.73303518861738
30/06/2021,FIF,Kemahasiswaan,462.0,437.0232288078036
30/06/2021,FIF,Pengembangan Infrastruktur,455.0,451.29786045029715
30/06/2021,FEB,Operasional,195.0,188.5350170005327
30/06/2021,FEB,Riset dan Pengembangan,447.0,283.00191530059453
30/06/2021,FEB,Kemahasiswaan,191.0,182.64758815305663
30/06/2021,FEB,Pengembangan Infrastruktur,167.0,150.83354654978012
30/06/2021,FKB,Operasional,229.5,278.51520337728425
30/06/2021,FKB,Riset dan Pengembangan,283.0,270.96338432552807
30/06/2021,FKB,Kemahasiswaan,470.0,456.901689639397
30/06/2021,FKB,Pengembangan Infrastruktur,305.0,285.48562593780053
30/06/2021,FIT,Operasional,154.5,189.44161190093507
30/06/2021,FIT,Riset dan Pengembangan,119.0,116.52688273495512
30/06/2021,FIT,Kemahasiswaan,194.0,176.61405811780975
30/06/2021,FIT,Pengembangan Infrastruktur,479.0,461.2965731613217
30/06/2021,FIK,Operasional,470.0,439.9926337577405
30/06/2021,FIK,Riset dan Pengembangan,264.0,241.5843019166247
30/06/2021,FIK,Kemahasiswaan,226.0,214.75434749644398
30/06/2021,FIK,Pengembangan Infrastruktur,473.0,458.7760568198413
31/07/2021,FTE,Operasional,105.0,96.16991199248014
31/07/2021,FTE,Riset dan Pengembangan,430.0,420.2973858374646
31/07/2021,FTE,Kemahasiswaan,195.0,185.2159594216324
31/07/2021,FTE,Pengembangan Infrastruktur,285.0,266.94074605701064
31/07/2021,FRI,Operasional,274.0,262.88802822641054
31/07/2021,FRI,Riset dan Pengembangan,165.0,162.88137718866236
31/07/2021,FRI,Kemahasiswaan,144.0,137.44165918457526
31/07/2021,FRI,Pengembangan Infrastruktur,482.0,437.86480318150547
31/07/2021,FIF,Operasional,192.0,185.56286657187823
31/07/2021,FIF,Riset dan Pengembangan,334.5,209.33647130148833
31/07/2021,FIF,Kemahasiswaan,318.0,299.2930790932571
31/07/2021,FIF,Pengembangan Infrastruktur,291.0,280.05716213705125
31/07/2021,FEB,Operasional,335.0,318.6259877385907
31/07/2021,FEB,Riset dan Pengembangan,597.0,361.3027973429987
31/07/2021,FEB,Kemahasiswaan,166.0,156.9097336037592
31/07/2021,FEB,Pengembangan Infrastruktur,255.0,232.93599648206376
31/07/2021,FKB,Operasional,348.75,458.5929460210433
31/07/2021,FKB,Riset dan Pengembangan,430.0,393.13517640943826
31/07/2021,FKB,Kemahasiswaan,122.0,110.49935102667395
31/07/2021,FKB,Pengembangan Infrastruktur,114.0,105.53017075892795
31/07/2021,FIT,Operasional,288.75,382.25376548937015
31/07/2021,FIT,Riset dan Pengembangan,445.0,409.4101307869225
31/07/2021,FIT,Kemahasiswaan,479.0,434.95709182692576
31/07/2021,FIT,Pengembangan Infrastruktur,307.0,289.08866670885135
31/07/2021,FIK,Operasional,372.0,345.6676219114295
31/07/2021,FIK,Riset dan Pengembangan,395.0,367.07670298644166
31/07/2021,FIK,Kemahasiswaan,460.0,453.0567034794427
31/07/2021,FIK,Pengembangan Infrastruktur,320.0,305.5323640943831
31/08/2021,FTE,Operasional,430.0,418.68765352723415
31/08/2021,FTE,Riset dan Pengembangan,245.0,234.82069273190424
31/08/2021,FTE,Kemahasiswaan,320.0,303.0496338962303
31/08/2021,FTE,Pengembangan Infrastruktur,310.0,294.5293183473603
31/08/2021,FRI,Operasional,407.0,404.71057320299053
31/08/2021,FRI,Riset dan Pengembangan,465.0,464.585614253352
31/08/2021,FRI,Kemahasiswaan,228.0,222.09057567652886
31/08/2021,FRI,Pengembangan Infrastruktur,413.0,407.53202537348466
31/08/2021,FIF,Operasional,186.0,173.59732682146026
31/08/2021,FIF,Riset dan Pengembangan,321.0,202.2998456996477
31/08/2021,FIF,Kemahasiswaan,239.0,234.6526583807801
31/08/2021,FIF,Pengembangan Infrastruktur,359.0,352.27913207967197
31/08/2021,FEB,Operasional,211.0,203.137638548618
31/08/2021,FEB,Riset dan Pengembangan,316.5,199.80558447262845
31/08/2021,FEB,Kemahasiswaan,326.0,296.8580201320782
31/08/2021,FEB,Pengembangan Infrastruktur,480.0,477.2217318663454
31/08/2021,FKB,Operasional,138.75,175.18308833941322
31/08/2021,FKB,Riset dan Pengembangan,448.0,421.5407560181535
31/08/2021,FKB,Kemahasiswaan,353.0,338.28034059449635
31/08/2021,FKB,Pengembangan Infrastruktur,385.0,375.1750004696584
31/08/2021,FIT,Operasional,366.75,442.30520718116156
31/08/2021,FIT,Riset dan Pengembangan,454.0,413.17881395123027
31/08/2021,FIT,Kemahasiswaan,274.0,250.17620010647866
31/08/2021,FIT,Pengembangan Infrastruktur,499.0,482.0126311409361
31/08/2021,FIK,Operasional,276.0,273.5764761522029
31/08/2021,FIK,Riset dan Pengembangan,291.0,264.8902919758653
31/08/2021,FIK,Kemahasiswaan,158.0,150.39305617687177
31/08/2021,FIK,Pengembangan Infrastruktur,497.0,461.7645676812532
30/09/2021,FTE,Operasional,309.0,306.8641004422768
30/09/2021,FTE,Riset dan Pengembangan,371.0,339.4206779605502
30/09/2021,FTE,Kemahasiswaan,465.0,449.58539117363495
30/09/2021,FTE,Pengembangan Infrastruktur,106.0,103.70860949086942
30/09/2021,FRI,Operasional,121.0,114.53696660949979
30/09/2021,FRI,Riset dan Pengembangan,438.0,427.5892471230172
30/09/2021,FRI,Kemahasiswaan,132.0,126.07422169789712
30/09/2021,FRI,Pengembangan Infrastruktur,486.0,454.5363796496047
30/09/2021,FIF,Operasional,231.0,210.54899939319426
30/09/2021,FIF,Riset dan Pengembangan,562.5,359.88708148188414
30/09/2021,FIF,Kemahasiswaan,332.0,325.30362878416787
30/09/2021,FIF,Pengembangan Infrastruktur,379.0,360.02893674489775
30/09/2021,FEB,Operasional,481.0,474.5392814613256
30/09/2021,FEB,Riset dan Pengembangan,541.5,347.10095098886376
30/09/2021,FEB,Kemahasiswaan,388.0,364.7284039999238
30/09/2021,FEB,Pengembangan Infrastruktur,110.0,102.93365483205898
30/09/2021,FKB,Operasional,199.5,246.28110491874034
30/09/2021,FKB,Riset dan Pengembangan,224.0,222.25890605665845
30/09/2021,FKB,Kemahasiswaan,253.0,247.97200515297058
30/09/2021,FKB,Pengembangan Infrastruktur,324.0,309.20888496251894
30/09/2021,FIT,Operasional,202.5,261.5606550000838
30/09/2021,FIT,Riset dan Pengembangan,427.0,409.8499856717326
30/09/2021,FIT,Kemahasiswaan,169.0,157.75514867802386
30/09/2021,FIT,Pengembangan Infrastruktur,157.0,152.04543310834308
30/09/2021,FIK,Operasional,292.0,266.0313203122258
30/09/2021,FIK,Riset dan Pengembangan,284.0,261.7098980216749
30/09/2021,FIK,Kemahasiswaan,368.0,334.57724648016654
30/09/2021,FIK,Pengembangan Infrastruktur,384.0,358.4763317842093
31/10/2021,FTE,Operasional,290.0,276.79742759551164
31/10/2021,FTE,Riset dan Pengembangan,367.0,341.6327302043787
31/10/2021,FTE,Kemahasiswaan,479.0,469.23458172366594
31/10/2021,FTE,Pengembangan Infrastruktur,329.0,318.9789194860118
31/10/2021,FRI,Operasional,218.0,199.99954403368363
31/10/2021,FRI,Riset dan Pengembangan,466.0,443.5689938605871
31/10/2021,FRI,Kemahasiswaan,287.0,276.2222909981757
31/10/2021,FRI,Pengembangan Infrastruktur,440.0,427.40012066961435
31/10/2021,FIF,Operasional,367.0,351.40256512964356
31/10/2021,FIF,Riset dan Pengembangan,339.0,217.36127819948297
31/10/2021,FIF,Kemahasiswaan,383.0,348.8026030475268
31/10/2021,FIF,Pengembangan Infrastruktur,259.0,244.9148260533849
31/10/2021,FEB,Operasional,181.0,168.84410144475933
31/10/2021,FEB,Riset dan Pengembangan,672.0,443.93153753136943
31/10/2021,FEB,Kemahasiswaan,272.0,250.05981803185276
31/10/2021,FEB,Pengembangan Infrastruktur,163.0,157.85177736834066
31/10/2021,FKB,Operasional,156.75,193.96010463058374
31/10/2021,FKB,Riset dan Pengembangan,236.0,215.87230431560639
31/10/2021,FKB,Kemahasiswaan,478.0,475.3726678236958
31/10/2021,FKB,Pengembangan Infrastruktur,176.0,160.1131541477808
31/10/2021,FIT,Operasional,301.5,400.8027207119788
31/10/2021,FIT,Riset dan Pengembangan,339.0,326.9105069897299
31/10/2021,FIT,Kemahasiswaan,290.0,261.7374756450074
31/10/2021,FIT,Pengembangan Infrastruktur,186.0,175.7807202102699
31/10/2021,FIK,Operasional,113.0,106.99424172695903
31/10/2021,FIK,Riset dan Pengembangan,163.0,153.77471509498304
31/10/2021,FIK,Kemahasiswaan,362.0,351.99623489762934
31/10/2021,FIK,Pengembangan Infrastruktur,329.0,328.6939702624009
30/11/2021,FTE,Operasional,128.0,119.88593687549164
30/11/2021,FTE,Riset dan Pengembangan,179.0,173.3127530711159
30/11/2021,FTE,Kemahasiswaan,404.0,389.3995402769082
30/11/2021,FTE,Pengembangan Infrastruktur,339.0,334.3034623415981
30/11/2021,FRI,Operasional,135.0,125.74647646145986
30/11/2021,FRI,Riset dan Pengembangan,165.0,163.08698594988837
30/11/2021,FRI,Kemahasiswaan,491.0,465.0135584322478
30/11/2021,FRI,Pengembangan Infrastruktur,130.0,125.93305912223616
30/11/2021,FIF,Operasional,194.0,179.33379795870968
30/11/2021,FIF,Riset dan Pengembangan,304.5,195.29478039263293
30/11/2021,FIF,Kemahasiswaan,236.0,221.91292456760024
30/11/2021,FIF,Pengembangan Infrastruktur,283.0,257.71161086885326
30/11/2021,FEB,Operasional,108.0,103.16742144447602
30/11/2021,FEB,Riset dan Pengembangan,418.5,269.96151387944906
30/11/2021,FEB,Kemahasiswaan,435.0,400.55264572815435
30/11/2021,FEB,Pengembangan Infrastruktur,457.0,416.72917035306654
30/11/2021,FKB,Operasional,184.5,229.13569725253498
30/11/2021,FKB,Riset dan Pengembangan,297.0,283.13170003496657
30/11/2021,FKB,Kemahasiswaan,232.0,229.31292184301628
30/11/2021,FKB,Pengembangan Infrastruktur,436.0,418.3496763305502
30/11/2021,FIT,Operasional,321.0,389.5894695509248
30/11/2021,FIT,Riset dan Pengembangan,294.0,287.329653085421
30/11/2021,FIT,Kemahasiswaan,364.0,338.61417303116485
30/11/2021,FIT,Pengembangan Infrastruktur,254.0,232.2039831931007
30/11/2021,FIK,Operasional,357.0,331.0652932647421
30/11/2021,FIK,Riset dan Pengembangan,193.0,179.32231513016657
30/11/2021,FIK,Kemahasiswaan,352.0,349.8646553008901
30/11/2021,FIK,Pengembangan Infrastruktur,289.0,264.646561957285
31/12/2021,FTE,Operasional,479.0,433.190549460093
31/12/2021,FTE,Riset dan Pengembangan,325.0,303.30269589177834
31/12/2021,FTE,Kemahasiswaan,385.0,371.8402961170539
31/12/2021,FTE,Pengembangan Infrastruktur,119.0,113.7313958330068
31/12/2021,FRI,Operasional,417.0,415.30451347399026
31/12/2021,FRI,Riset dan Pengembangan,171.0,155.12684799971322
31/12/2021,FRI,Kemahasiswaan,206.0,186.68256860670965
31/12/2021,FRI,Pengembangan Infrastruktur,315.0,304.5708236310158
31/12/2021,FIF,Operasional,103.0,100.60544031317434
31/12/2021,FIF,Riset dan Pengembangan,232.5,153.86838025649863
31/12/2021,FIF,Kemahasiswaan,418.0,387.4229271594794
31/12/2021,FIF,Pengembangan Infrastruktur,371.0,341.04505873647577
31/12/2021,FEB,Operasional,240.0,224.29464471792627
31/12/2021,FEB,Riset dan Pengembangan,381.0,245.8284236054665
31/12/2021,FEB,Kemahasiswaan,274.0,271.5875614180526
31/12/2021,FEB,Pengembangan Infrastruktur,218.0,217.7666117484698
31/12/2021,FKB,Operasional,75.0,98.53415739676129
31/12/2021,FKB,Riset dan Pengembangan,316.0,314.00596415644395
31/12/2021,FKB,Kemahasiswaan,251.0,242.17317185943617
31/12/2021,FKB,Pengembangan Infrastruktur,483.0,447.25398074215894
31/12/2021,FIT,Operasional,123.75,152.47263283528125
31/12/2021,FIT,Riset dan Pengembangan,491.0,489.91357285781845
31/12/2021,FIT,Kemahasiswaan,169.0,166.1268840263725
31/12/2021,FIT,Pengembangan Infrastruktur,320.0,304.30298725417737
31/12/2021,FIK,Operasional,250.0,228.29346255470412
31/12/2021,FIK,Riset dan Pengembangan,349.0,339.2463528208251
31/12/2021,FIK,Kemahasiswaan,431.0,414.76846054634217
31/12/2021,FIK,Pengembangan Infrastruktur,361.0,350.20787976030863
31/01/2022,FTE,Operasional,354.0,320.2985879745185
31/01/2022,FTE,Riset dan Pengembangan,382.0,358.2722273299039
31/01/2022,FTE,Kemahasiswaan,303.0,280.5562436514395
31/01/2022,FTE,Pengembangan Infrastruktur,179.0,171.47592284495929
31/01/2022,FRI,Operasional,332.0,306.8373865858807
31/01/2022,FRI,Riset dan Pengembangan,301.0,288.06070814293844
31/01/2022,FRI,Kemahasiswaan,171.0,155.3486875766634
31/01/2022,FRI,Pengembangan Infrastruktur,415.0,390.2052022820878
31/01/2022,FIF,Operasional,247.0,242.0846648818317
31/01/2022,FIF,Riset dan Pengembangan,412.5,249.83886361244157
31/01/2022,FIF,Kemahasiswaan,415.0,395.91858763856374
31/01/2022,FIF,Pengembangan Infrastruktur,330.0,315.9893524426302
31/01/2022,FEB,Operasional,166.0,153.92129166867952
31/01/2022,FEB,Riset dan Pengembangan,553.5,367.5905880433024
31/01/2022,FEB,Kemahasiswaan,493.0,461.38373546835203
31/01/2022,FEB,Pengembangan Infrastruktur,261.0,243.40546740262033
31/01/2022,FKB,Operasional,318.0,413.7696836887125
31/01/2022,FKB,Riset dan Pengembangan,475.0,439.46765088970693
31/01/2022,FKB,Kemahasiswaan,321.0,315.68208884110885
31/01/2022,FKB,Pengembangan Infrastruktur,333.0,311.4606522146792
31/01/2022,FIT,Operasional,303.75,389.638612645053
31/01/2022,FIT,Riset dan Pengembangan,245.0,220.88864373490057
31/01/2022,FIT,Kemahasiswaan,121.0,115.06030223692701
31/01/2022,FIT,Pengembangan Infrastruktur,298.0,276.71617320554805
31/01/2022,FIK,Operasional,355.0,328.0734435730102
31/01/2022,FIK,Riset dan Pengembangan,103.0,98.15050085533855
31/01/2022,FIK,Kemahasiswaan,493.0,447.211963493471
31/01/2022,FIK,Pengembangan Infrastruktur,215.0,193.57198299449675
28/02/2022,FTE,Operasional,216.0,212.36810376477703
28/02/2022,FTE,Riset dan Pengembangan,237.0,221.06946321224075
28/02/2022,FTE,Kemahasiswaan,299.0,271.6278723852644
28/02/2022,FTE,Pengembangan Infrastruktur,278.0,263.8337567200477
28/02/2022,FRI,Operasional,141.0,131.73437472492205
28/02/2022,FRI,Riset dan Pengembangan,325.0,292.9936528891967
28/02/2022,FRI,Kemahasiswaan,414.0,403.8924325367434
28/02/2022,FRI,Pengembangan Infrastruktur,393.0,379.617409575129
28/02/2022,FIF,Operasional,147.0,137.94226454123893
28/02/2022,FIF,Riset dan Pengembangan,729.0,485.3728980885751
28/02/2022,FIF,Kemahasiswaan,259.0,239.52924265371297
28/02/2022,FIF,Pengembangan Infrastruktur,272.0,267.30034417265716
28/02/2022,FEB,Operasional,332.0,331.3380446325826
28/02/2022,FEB,Riset dan Pengembangan,670.5,410.827872853149
28/02/2022,FEB,Kemahasiswaan,443.0,421.24213097221013
28/02/2022,FEB,Pengembangan Infrastruktur,326.0,294.83181530365215
28/02/2022,FKB,Operasional,304.5,366.1252225725881
28/02/2022,FKB,Riset dan Pengembangan,117.0,110.68303085777902
28/02/2022,FKB,Kemahasiswaan,274.0,249.84196664848173
28/02/2022,FKB,Pengembangan Infrastruktur,320.0,299.84923799936826
28/02/2022,FIT,Operasional,96.75,123.70943263506012
28/02/2022,FIT,Riset dan Pengembangan,128.0,124.4991115010877
28/02/2022,FIT,Kemahasiswaan,247.0,229.8212003791572
28/02/2022,FIT,Pengembangan Infrastruktur,446.0,421.98691099809236
28/02/2022,FIK,Operasional,482.0,475.35468713243466
28/02/2022,FIK,Riset dan Pengembangan,366.0,349.6697577662393
28/02/2022,FIK,Kemahasiswaan,405.0,394.5294005321907
28/02/2022,FIK,Pengembangan Infrastruktur,361.0,338.3744512059075
31/03/2022,FTE,Operasional,139.0,125.34262345964977
31/03/2022,FTE,Riset dan Pengembangan,247.0,238.01897071385523
31/03/2022,FTE,Kemahasiswaan,346.0,322.03801821348833
31/03/2022,FTE,Pengembangan Infrastruktur,445.0,401.57229025228685
31/03/2022,FRI,Operasional,198.0,183.76748640785868
31/03/2022,FRI,Riset dan Pengembangan,287.0,285.1638605960202
31/03/2022,FRI,Kemahasiswaan,402.0,397.7504366578178
31/03/2022,FRI,Pengembangan Infrastruktur,397.0,394.4167678256602
31/03/2022,FIF,Operasional,347.0,314.1911603905772
31/03/2022,FIF,Riset dan Pengembangan,591.0,388.43922512862537
31/03/2022,FIF,Kemahasiswaan,495.0,465.2594579845992
31/03/2022,FIF,Pengembangan Infrastruktur,204.0,200.99631140767568
31/03/2022,FEB,Operasional,331.0,313.7422494707787
31/03/2022,FEB,Riset dan Pengembangan,642.0,419.0624711481958
31/03/2022,FEB,Kemahasiswaan,281.0,265.3789751122085
31/03/2022,FEB,Pengembangan Infrastruktur,443.0,408.0068330416889
31/03/2022,FKB,Operasional,97.5,118.44261352350803
31/03/2022,FKB,Riset dan Pengembangan,372.0,370.2634759431084
31/03/2022,FKB,Kemahasiswaan,228.0,217.914606700772
31/03/2022,FKB,Pengembangan Infrastruktur,257.0,232.8312791438227
31/03/2022,FIT,Operasional,215.25,263.50633016963116
31/03/2022,FIT,Riset dan Pengembangan,494.0,449.53635169002143
31/03/2022,FIT,Kemahasiswaan,383.0,368.02030956394896
31/03/2022,FIT,Pengembangan Infrastruktur,148.0,138.2012209310682
31/03/2022,FIK,Operasional,273.0,258.5739280415854
31/03/2022,FIK,Riset dan Pengembangan,348.0,346.95608788657614
31/03/2022,FIK,Kemahasiswaan,232.0,230.89114290376293
31/03/2022,FIK,Pengembangan Infrastruktur,333.0,315.6474547416797
30/04/2022,FTE,Operasional,479.0,445.54290422664286
30/04/2022,FTE,Riset dan Pengembangan,484.0,475.4381476971891
30/04/2022,FTE,Kemahasiswaan,303.0,280.93164781614195
30/04/2022,FTE,Pengembangan Infrastruktur,143.0,129.41335602124718
30/04/2022,FRI,Operasional,160.0,159.9819163254179
30/04/2022,FRI,Riset dan Pengembangan,481.0,437.3705254935188
30/04/2022,FRI,Kemahasiswaan,246.0,225.24826097862078
30/04/2022,FRI,Pengembangan Infrastruktur,222.0,205.73370364035077
30/04/2022,FIF,Operasional,199.0,193.63516429458622
30/04/2022,FIF,Riset dan Pengembangan,712.5,450.4343899482715
30/04/2022,FIF,Kemahasiswaan,282.0,265.88418494432426
30/04/2022,FIF,Pengembangan Infrastruktur,369.0,345.8782208937185
30/04/2022,FEB,Operasional,497.0,457.94700344919664
30/04/2022,FEB,Riset dan Pengembangan,675.0,409.92321908083176
30/04/2022,FEB,Kemahasiswaan,415.0,389.46017896776993
30/04/2022,FEB,Pengembangan Infrastruktur,263.0,252.94694765689556
30/04/2022,FKB,Operasional,327.0,405.38903210204757
30/04/2022,FKB,Riset dan Pengembangan,263.0,246.9169129199327
30/04/2022,FKB,Kemahasiswaan,176.0,161.820682491758
30/04/2022,FKB,Pengembangan Infrastruktur,273.0,269.4447147127047
30/04/2022,FIT,Operasional,348.75,453.2437812118128
30/04/2022,FIT,Riset dan Pengembangan,231.0,228.88193723103146
30/04/2022,FIT,Kemahasiswaan,481.0,477.92290562040984
30/04/2022,FIT,Pengembangan Infrastruktur,470.0,468.9113702601092
30/04/2022,FIK,Operasional,459.0,446.3355870254902
30/04/2022,FIK,Riset dan Pengembangan,383.0,367.52048350478515
30/04/2022,FIK,Kemahasiswaan,475.0,453.0616395685926
30/04/2022,FIK,Pengembangan Infrastruktur,440.0,422.75325228644994
31/05/2022,FTE,Operasional,426.0,401.5071086419297
31/05/2022,FTE,Riset dan Pengembangan,281.0,279.29810641909313
31/05/2022,FTE,Kemahasiswaan,257.0,234.67567169653634
31/05/2022,FTE,Pengembangan Infrastruktur,129.0,127.59834801041535
31/05/2022,FRI,Operasional,159.0,147.24258550793928
31/05/2022,FRI,Riset dan Pengembangan,425.0,403.3418377392961
31/05/2022,FRI,Kemahasiswaan,105.0,97.6757808193953
31/05/2022,FRI,Pengembangan Infrastruktur,473.0,460.92795700301747
31/05/2022,FIF,Operasional,329.0,323.6505689599219
31/05/2022,FIF,Riset dan Pengembangan,411.0,255.81798953003278
31/05/2022,FIF,Kemahasiswaan,144.0,142.46085819405545
31/05/2022,FIF,Pengembangan Infrastruktur,498.0,496.5737453316354
31/05/2022,FEB,Operasional,450.0,443.4428151495021
31/05/2022,FEB,Riset dan Pengembangan,304.5,188.98016213795637
31/05/2022,FEB,Kemahasiswaan,463.0,462.8167763181214
31/05/2022,FEB,Pengembangan Infrastruktur,121.0,113.14367538815817
31/05/2022,FKB,Operasional,194.25,250.20892230065482
31/05/2022,FKB,Riset dan Pengembangan,387.0,379.382595531488
31/05/2022,FKB,Kemahasiswaan,490.0,462.68805467192755
31/05/2022,FKB,Pengembangan Infrastruktur,434.0,419.4803329150901
31/05/2022,FIT,Operasional,261.0,343.0249496754148
31/05/2022,FIT,Riset dan Pengembangan,159.0,158.56380775438498
31/05/2022,FIT,Kemahasiswaan,282.0,271.5858370080891
31/05/2022,FIT,Pengembangan Infrastruktur,391.0,353.31694378874244
31/05/2022,FIK,Operasional,257.0,246.91959864424757
31/05/2022,FIK,Riset dan Pengembangan,259.0,243.72646873506886
31/05/2022,FIK,Kemahasiswaan,494.0,471.60284367841916
31/05/2022,FIK,Pengembangan Infrastruktur,299.0,284.2530674742683
30/06/2022,FTE,Operasional,119.0,114.3584360277538
30/06/2022,FTE,Riset dan Pengembangan,347.0,328.28281074772366
30/06/2022,FTE,Kemahasiswaan,311.0,294.19716900846424
30/06/2022,FTE,Pengembangan Infrastruktur,394.0,369.7874303035995
30/06/2022,FRI,Operasional,471.0,424.56469300185796
30/06/2022,FRI,Riset dan Pengembangan,162.0,155.0392069476811
30/06/2022,FRI,Kemahasiswaan,234.0,217.44261180217123
30/06/2022,FRI,Pengembangan Infrastruktur,483.0,469.0532629837901
30/06/2022,FIF,Operasional,270.0,249.74440814124205
30/06/2022,FIF,Riset dan Pengembangan,297.0,186.98001076565131
30/06/2022,FIF,Kemahasiswaan,174.0,157.89526123092992
30/06/2022,FIF,Pengembangan Infrastruktur,484.0,482.91878826220716
30/06/2022,FEB,Operasional,412.0,380.4499922917246
30/06/2022,FEB,Riset dan Pengembangan,550.5,335.3655762239451
30/06/2022,FEB,Kemahasiswaan,454.0,443.6256375955651
30/06/2022,FEB,Pengembangan Infrastruktur,456.0,452.39695588612597
30/06/2022,FKB,Operasional,330.0,419.1136053722472
30/06/2022,FKB,Riset dan Pengembangan,170.0,168.10493660919067
30/06/2022,FKB,Kemahasiswaan,328.0,317.96486282741745
30/06/2022,FKB,Pengembangan Infrastruktur,207.0,187.2523116177313
30/06/2022,FIT,Operasional,190.5,244.78128451050472
30/06/2022,FIT,Riset dan Pengembangan,113.0,104.92335214878834
30/06/2022,FIT,Kemahasiswaan,331.0,324.02001395178235
30/06/2022,FIT,Pengembangan Infrastruktur,297.0,294.7373418086219
30/06/2022,FIK,Operasional,373.0,368.62679504564653
30/06/2022,FIK,Riset dan Pengembangan,215.0,213.9902855108667
30/06/2022,FIK,Kemahasiswaan,196.0,182.9563193581984
